"filename", "language", "JSON with Comments", "JavaScript", "Svelte", "TypeScript", "JSON", "YAML", "comment", "blank", "total"
"c:\Users\justi\Desktop\toyo\toyo\.github\workflows\toyo-netlify-dev.yml", "YAML", 0, 0, 0, 0, 0, 5, 0, 4, 9
"c:\Users\justi\Desktop\toyo\toyo\package-lock.json", "JSON", 0, 0, 0, 0, 49, 0, 0, 0, 49
"c:\Users\justi\Desktop\toyo\toyo\package.json", "JSON", 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\justi\Desktop\toyo\toyo\src\lib\EventPreview.svelte", "Svelte", 0, 0, 35, 0, 0, 0, 0, 5, 40
"c:\Users\justi\Desktop\toyo\toyo\src\lib\buttons\blueCtaButton.svelte", "Svelte", 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\justi\Desktop\toyo\toyo\src\lib\buttons\ctaButton.svelte", "Svelte", 0, 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\justi\Desktop\toyo\toyo\src\lib\buttons\redCtaButton.svelte", "Svelte", 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\justi\Desktop\toyo\toyo\src\lib\courses\CourseDescription.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\justi\Desktop\toyo\toyo\src\lib\courses\CourseHero.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\justi\Desktop\toyo\toyo\src\lib\courses\CoursePreview.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\justi\Desktop\toyo\toyo\src\lib\courses\CourseTitle.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\justi\Desktop\toyo\toyo\src\lib\events.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 2, 25
"c:\Users\justi\Desktop\toyo\toyo\src\lib\faq\Collection.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\justi\Desktop\toyo\toyo\src\lib\faq\CollectionLink.svelte", "Svelte", 0, 0, 28, 0, 0, 0, 0, 5, 33
"c:\Users\justi\Desktop\toyo\toyo\src\lib\faq\FaqDefs.ts", "TypeScript", 0, 0, 0, 130, 0, 0, 0, 2, 132
"c:\Users\justi\Desktop\toyo\toyo\src\lib\faq\LinkList.svelte", "Svelte", 0, 0, 19, 0, 0, 0, 0, 4, 23
"c:\Users\justi\Desktop\toyo\toyo\src\lib\footer\Footer.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 1, 1
