Date : 2023-03-14 18:45:56
Directory : c:\Users\justi\Desktop\toyo\toyo
Total : 142 files,  13898 codes, 36 comments, 909 blanks, all 14843 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          2 |      7,473 |          0 |          2 |      7,475 |
| Svelte             |        101 |      4,324 |          3 |        623 |      4,950 |
| TypeScript         |         20 |      1,850 |         22 |        208 |      2,080 |
| JavaScript         |         11 |        113 |          5 |         27 |        145 |
| Prisma             |          1 |         53 |          2 |         12 |         67 |
| Markdown           |          1 |         24 |          0 |         15 |         39 |
| JSON with Comments |          1 |         15 |          4 |          2 |         21 |
| CSS                |          1 |         15 |          0 |          5 |         20 |
| Docker             |          1 |         15 |          0 |          8 |         23 |
| HTML               |          1 |         11 |          0 |          1 |         12 |
| YAML               |          2 |          5 |          0 |          6 |         11 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                      |        142 |     13,898 |         36 |        909 |     14,843 |
| . (Files)                                                                              |         10 |      7,595 |          8 |         38 |      7,641 |
| .github                                                                                |          2 |          5 |          0 |          6 |         11 |
| .github\workflows                                                                      |          2 |          5 |          0 |          6 |         11 |
| prisma                                                                                 |          1 |         53 |          2 |         12 |         67 |
| src                                                                                    |        129 |      6,245 |         26 |        853 |      7,124 |
| src (Files)                                                                            |          3 |         28 |          7 |          7 |         42 |
| src\lib                                                                                |        108 |      5,776 |         18 |        774 |      6,568 |
| src\lib (Files)                                                                        |          3 |        146 |          0 |         19 |        165 |
| src\lib\buttons                                                                        |          4 |         49 |          0 |          9 |         58 |
| src\lib\cards                                                                          |          2 |         48 |          0 |          6 |         54 |
| src\lib\courses                                                                        |          4 |          0 |          0 |          4 |          4 |
| src\lib\faq                                                                            |          4 |        463 |          0 |         31 |        494 |
| src\lib\footer                                                                         |          2 |        124 |          1 |          8 |        133 |
| src\lib\forms                                                                          |         33 |      2,957 |         15 |        433 |      3,405 |
| src\lib\forms (Files)                                                                  |         11 |        620 |          5 |        126 |        751 |
| src\lib\forms\input                                                                    |         12 |        824 |          0 |        115 |        939 |
| src\lib\forms\subforms                                                                 |          8 |      1,503 |         10 |        189 |      1,702 |
| src\lib\forms\text                                                                     |          2 |         10 |          0 |          3 |         13 |
| src\lib\headers                                                                        |          3 |         40 |          0 |          9 |         49 |
| src\lib\hero                                                                           |         10 |        225 |          1 |         31 |        257 |
| src\lib\homepage                                                                       |          1 |         17 |          0 |          3 |         20 |
| src\lib\media-wrappers                                                                 |          1 |         10 |          0 |          2 |         12 |
| src\lib\navbar                                                                         |          6 |        441 |          0 |         42 |        483 |
| src\lib\navbar (Files)                                                                 |          4 |        306 |          0 |         29 |        335 |
| src\lib\navbar\mobile                                                                  |          2 |        135 |          0 |         13 |        148 |
| src\lib\news                                                                           |          6 |        272 |          0 |         59 |        331 |
| src\lib\plan                                                                           |          2 |         48 |          0 |          3 |         51 |
| src\lib\social-components                                                              |          3 |         69 |          0 |          8 |         77 |
| src\lib\store                                                                          |          7 |        121 |          1 |         25 |        147 |
| src\lib\svg                                                                            |          1 |         10 |          0 |          1 |         11 |
| src\lib\tables                                                                         |          5 |        386 |          0 |         33 |        419 |
| src\lib\testimonials                                                                   |          4 |        255 |          0 |         23 |        278 |
| src\lib\transitions                                                                    |          1 |         17 |          0 |          4 |         21 |
| src\lib\tweens                                                                         |          2 |         24 |          0 |          9 |         33 |
| src\lib\wrappers                                                                       |          4 |         54 |          0 |         12 |         66 |
| src\routes                                                                             |         18 |        441 |          1 |         72 |        514 |
| src\routes (Files)                                                                     |          1 |          1 |          0 |          1 |          2 |
| src\routes\(app)                                                                       |          9 |        302 |          0 |         42 |        344 |
| src\routes\(app) (Files)                                                               |          4 |        159 |          0 |         19 |        178 |
| src\routes\(app)\university                                                            |          5 |        143 |          0 |         23 |        166 |
| src\routes\(app)\university\about                                                      |          1 |         96 |          0 |         13 |        109 |
| src\routes\(app)\university\apply                                                      |          1 |         13 |          0 |          3 |         16 |
| src\routes\(app)\university\details                                                    |          1 |          6 |          0 |          2 |          8 |
| src\routes\(app)\university\faq                                                        |          1 |         24 |          0 |          3 |         27 |
| src\routes\(app)\university\news                                                       |          1 |          4 |          0 |          2 |          6 |
| src\routes\(special)                                                                   |          8 |        138 |          1 |         29 |        168 |
| src\routes\(special) (Files)                                                           |          2 |         48 |          1 |         12 |         61 |
| src\routes\(special)\special                                                           |          6 |         90 |          0 |         17 |        107 |
| src\routes\(special)\special (Files)                                                   |          2 |         56 |          0 |          7 |         63 |
| src\routes\(special)\special\public                                                    |          1 |          3 |          0 |          2 |          5 |
| src\routes\(special)\special\specialfaq                                                |          1 |         25 |          0 |          4 |         29 |
| src\routes\(special)\special\specialnews                                               |          1 |          3 |          0 |          2 |          5 |
| src\routes\(special)\special\students                                                  |          1 |          3 |          0 |          2 |          5 |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                               | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\justi\Desktop\toyo\toyo\.eslintrc.cjs                                         | JavaScript         |         20 |          0 |          1 |         21 |
| c:\Users\justi\Desktop\toyo\toyo\.github\workflows\toyo-dev-env.yml                    | YAML               |          0 |          0 |          2 |          2 |
| c:\Users\justi\Desktop\toyo\toyo\.github\workflows\toyo-netlify-dev.yml                | YAML               |          5 |          0 |          4 |          9 |
| c:\Users\justi\Desktop\toyo\toyo\Dockerfile                                            | Docker             |         15 |          0 |          8 |         23 |
| c:\Users\justi\Desktop\toyo\toyo\README.md                                             | Markdown           |         24 |          0 |         15 |         39 |
| c:\Users\justi\Desktop\toyo\toyo\package-lock.json                                     | JSON               |      7,421 |          0 |          1 |      7,422 |
| c:\Users\justi\Desktop\toyo\toyo\package.json                                          | JSON               |         52 |          0 |          1 |         53 |
| c:\Users\justi\Desktop\toyo\toyo\postcss.config.cjs                                    | JavaScript         |          6 |          0 |          1 |          7 |
| c:\Users\justi\Desktop\toyo\toyo\prisma\schema.prisma                                  | Prisma             |         53 |          2 |         12 |         67 |
| c:\Users\justi\Desktop\toyo\toyo\src\app.css                                           | CSS                |         15 |          0 |          5 |         20 |
| c:\Users\justi\Desktop\toyo\toyo\src\app.d.ts                                          | TypeScript         |          2 |          7 |          1 |         10 |
| c:\Users\justi\Desktop\toyo\toyo\src\app.html                                          | HTML               |         11 |          0 |          1 |         12 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\EventPreview.svelte                           | Svelte             |         35 |          0 |          5 |         40 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\buttons\ToTop.svelte                          | Svelte             |         19 |          0 |          3 |         22 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\buttons\blueCtaButton.svelte                  | Svelte             |         10 |          0 |          2 |         12 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\buttons\ctaButton.svelte                      | Svelte             |         10 |          0 |          2 |         12 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\buttons\redCtaButton.svelte                   | Svelte             |         10 |          0 |          2 |         12 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\cards\card.svelte                             | Svelte             |         22 |          0 |          2 |         24 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\cards\threeCardContainer.svelte               | Svelte             |         26 |          0 |          4 |         30 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\courses\CourseDescription.svelte              | Svelte             |          0 |          0 |          1 |          1 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\courses\CourseHero.svelte                     | Svelte             |          0 |          0 |          1 |          1 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\courses\CoursePreview.svelte                  | Svelte             |          0 |          0 |          1 |          1 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\courses\CourseTitle.svelte                    | Svelte             |          0 |          0 |          1 |          1 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\events.ts                                     | TypeScript         |         23 |          0 |          2 |         25 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\faq\CollectionLink.svelte                     | Svelte             |         71 |          0 |         14 |         85 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\faq\FaqDefs.ts                                | TypeScript         |        322 |          0 |          5 |        327 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\faq\LinkList.svelte                           | Svelte             |         50 |          0 |          9 |         59 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\faq\Question.svelte                           | Svelte             |         20 |          0 |          3 |         23 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\footer\Footer.svelte                          | Svelte             |        123 |          1 |          8 |        132 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\footer\LinkBox.svelte                         | Svelte             |          1 |          0 |          0 |          1 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\forms\ApplciationForm.svelte                  | Svelte             |        173 |          0 |         27 |        200 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\forms\ApplicationData.ts                      | TypeScript         |        119 |          5 |         27 |        151 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\forms\ChoiceScroller.svelte                   | Svelte             |         48 |          0 |          7 |         55 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\forms\CourseTypeSelector.svelte               | Svelte             |         32 |          0 |         10 |         42 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\forms\DaySelector.svelte                      | Svelte             |          2 |          0 |          2 |          4 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\forms\GroupLesson.svelte                      | Svelte             |         77 |          0 |         19 |         96 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\forms\LevelSelector.svelte                    | Svelte             |         19 |          0 |          4 |         23 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\forms\ManToManForm.svelte                     | Svelte             |          0 |          0 |          1 |          1 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\forms\ProgressIndicatorWrapper.svelte         | Svelte             |         54 |          0 |         11 |         65 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\forms\StudentInfo.svelte                      | Svelte             |          2 |          0 |          2 |          4 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\forms\TestSection.svelte                      | Svelte             |         94 |          0 |         16 |        110 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\forms\input\AddressInput.svelte               | Svelte             |        113 |          0 |         17 |        130 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\forms\input\BigSelectInput.svelte             | Svelte             |          0 |          0 |          1 |          1 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\forms\input\CheckboxInput.svelte              | Svelte             |         40 |          0 |          6 |         46 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\forms\input\EmailWithConfirmation.svelte      | Svelte             |        129 |          0 |         18 |        147 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\forms\input\ImageSelect.svelte                | Svelte             |         39 |          0 |          8 |         47 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\forms\input\LargeTextInput.svelte             | Svelte             |         71 |          0 |          9 |         80 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\forms\input\PhoneInput.svelte                 | Svelte             |        153 |          0 |         16 |        169 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\forms\input\ProgressBar.svelte                | Svelte             |         49 |          0 |          7 |         56 |
